sentence_row,trial_row,participant_id,problem_id,choice,persona,sentence_index,sentence_text,reasoning_char_start,reasoning_char_end,prompt_token_end,model_p_b,question_id,question,choice_map,persona_map,z_maximum_gain,z_minimum_gain,z_maximum_loss,z_minimum_loss,z_sum_two_largest_gains,z_probability_maximum_gain,z_probability_minimum_gain,z_probability_maximum_loss,z_probability_minimum_loss,z_probability_two_largest_gains,z_expected_value,z_entropy,choice_evidence_B,is_masked_conclusion
10,1,69576,19,0,Probability-Weighted Decision-Maker,4,"In this case, both options have the same expected value of -400 dollars.",407,479,249,0.1066906005144119,Q02,"Which option do you prefer? Option A: -500.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: -400.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.34663343,-0.30643412,0.5736054,0.5544885,-0.08544184,0.12489869,0.00064238906,-0.38322625,-0.3264547,0.20366499,0.13286084,-0.05344756,-1.7227416,False
11,1,69576,19,0,Probability-Weighted Decision-Maker,5,"However, Option B has a certainty of losing 400 dollars, while with Option A there's a 20% chance that I could walk away without losing anything.",480,625,285,0.1066906005144119,Q02,"Which option do you prefer? Option A: -500.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: -400.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.0923001,-0.13375138,0.59104806,0.5537466,0.08563378,0.06227909,0.5272369,-0.43314898,-0.40883195,0.5538256,0.24065341,-0.11861269,-1.7640679,False
12,1,69576,19,0,Probability-Weighted Decision-Maker,6,"Therefore, even though both options have the same expected value, Option A presents a chance to lose nothing which is absent in Option B.",627,764,313,0.1066906005144119,Q02,"Which option do you prefer? Option A: -500.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: -400.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.5011637,-0.4124711,0.22610267,0.21166636,-0.24693942,-0.22143964,-0.2544114,-0.054505244,-0.09417311,-0.105443984,-0.22849976,0.110214844,-1.3611001,False
13,1,69576,19,0,Probability-Weighted Decision-Maker,7,"So, I will choose Option X.",767,794,322,0.1066906005144119,Q02,"Which option do you prefer? Option A: -500.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: -400.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.5570251,-0.72175425,-0.58480346,-0.48001838,-0.2275751,-0.37240398,-0.46933562,0.74848497,-0.0029549599,-0.34461054,-0.91634643,-0.119203374,-0.6716294,True
14,2,69576,21,1,Probability-Weighted Decision-Maker,0,"First, I need to compute the expected values for both options.",0,62,148,0.8670357465744019,Q03,"Which option do you prefer? Option A: -4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: -3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",1,Probability-Weighted Decision-Maker,-0.6911169,-0.5821955,0.3123151,0.49701113,-0.48454678,-0.13940002,-0.042649955,0.104835,0.15658216,-0.25603488,-0.16975443,0.55136025,1.7961574,False
15,2,69576,21,1,Probability-Weighted Decision-Maker,1,"For Option A, the expected value would be calculated as (-4000 dollars * 20%) + (0 dollars * 80%) which is -800 dollars.",65,185,188,0.8670357465744019,Q03,"Which option do you prefer? Option A: -4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: -3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",1,Probability-Weighted Decision-Maker,-0.1724562,-0.0675077,0.038419068,-0.03289807,-0.20423897,0.28567773,0.17585032,-0.07983534,-0.059476875,0.124367654,-0.19324712,0.20377868,1.5237007,False
16,2,69576,21,1,Probability-Weighted Decision-Maker,2,"For Option B, the expected value would be calculated as (-3000 dollars * 25%) + (0 dollars * 75%) which is -750 dollars.",188,308,228,0.8670357465744019,Q03,"Which option do you prefer? Option A: -4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: -3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",1,Probability-Weighted Decision-Maker,-0.25157386,-0.22558388,0.6341224,0.6115902,0.0150564015,0.092237025,-0.05129695,-0.4277522,-0.41765666,0.21000823,0.19106463,0.39719585,1.8656628,False
17,2,69576,21,1,Probability-Weighted Decision-Maker,3,"Although both options have negative expected values, meaning I will lose money on average with either choice, I need to choose the option that minimizes my losses.",311,474,260,0.8670357465744019,Q03,"Which option do you prefer? Option A: -4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: -3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",1,Probability-Weighted Decision-Maker,-0.69869137,-0.5959208,0.33485028,0.27286428,-0.34482908,-0.37340313,-0.33005613,0.18598008,0.122167155,-0.14865845,-0.3125881,0.10219659,1.6161917,False
18,2,69576,21,1,Probability-Weighted Decision-Maker,4,"Given these calculations, Option B has a higher expected value (-750 dollars) compared to Option A (-800 dollars), meaning the average loss would be smaller with Option B.",477,648,299,0.8670357465744019,Q03,"Which option do you prefer? Option A: -4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: -3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",1,Probability-Weighted Decision-Maker,-0.5826854,-0.5046975,0.14692661,0.21177244,-0.25727624,-0.21922286,-0.2511047,-0.04668188,-0.08505863,-0.08787191,-0.31877714,0.6099916,1.8072946,False
19,2,69576,21,1,Probability-Weighted Decision-Maker,5,"Therefore, I will choose Option X.",650,684,308,0.8670357465744019,Q03,"Which option do you prefer? Option A: -4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: -3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",1,Probability-Weighted Decision-Maker,-0.37950465,-0.4885459,-0.39291903,-0.29054344,-0.20384024,-0.32259685,-0.43699038,0.3735722,0.07585922,-0.2952713,-0.7641811,0.31953603,1.5739236,True
20,3,69576,22,1,Probability-Weighted Decision-Maker,0,Let's start by calculating the expected values for each option.,0,63,164,0.9046505093574524,Q04,"Which option do you prefer? Option A: -6000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: -4000.0 dollars with 25.0 % chance, -2000.0 dollars with 25.0 % chance, 0.0 dollars with 50.0 % chance.",1,Probability-Weighted Decision-Maker,-0.80961907,-0.6938392,0.18376851,0.59097266,-0.5824563,-0.28406268,-0.34850502,0.202849,0.24127378,-0.4269198,-0.2832272,0.78995246,0.57780576,False
21,3,69576,22,1,Probability-Weighted Decision-Maker,1,"For Option A, we multiply the possible outcomes by their probabilities and sum these values.",66,158,182,0.9046505093574524,Q04,"Which option do you prefer? Option A: -6000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: -4000.0 dollars with 25.0 % chance, -2000.0 dollars with 25.0 % chance, 0.0 dollars with 50.0 % chance.",1,Probability-Weighted Decision-Maker,-0.7245121,-0.66165805,0.15403447,0.5095803,-0.4447648,-0.32028878,-0.51143837,0.26720932,0.19135247,-0.25276318,-0.41434026,0.46069014,0.32551536,False
22,3,69576,22,1,Probability-Weighted Decision-Maker,2,"This gives us: 
-6000 dollars * 0.25 + 0 dollars * 0.75 = -1500 dollars

For Option B, we do the same: 
-4000 dollars * 0.25 - 2000 dollars * 0.25 + 0 dollars * 0.5 = -1500 dollars

Interestingly, both options have the same expected value of -1500 dollars.",159,415,286,0.9046505093574524,Q04,"Which option do you prefer? Option A: -6000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: -4000.0 dollars with 25.0 % chance, -2000.0 dollars with 25.0 % chance, 0.0 dollars with 50.0 % chance.",1,Probability-Weighted Decision-Maker,-0.32616755,-0.34812424,0.53504276,0.505693,-0.08153561,-0.0008215308,-0.010638684,-0.3738492,-0.3225997,0.13351648,0.03860721,0.12920086,0.3618806,False
23,3,69576,22,1,Probability-Weighted Decision-Maker,3,"However, the potential loss is greater in Option A (-6000 dollars) compared to Option B (-4000 dollars).",416,520,314,0.9046505093574524,Q04,"Which option do you prefer? Option A: -6000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: -4000.0 dollars with 25.0 % chance, -2000.0 dollars with 25.0 % chance, 0.0 dollars with 50.0 % chance.",1,Probability-Weighted Decision-Maker,-0.61907464,-0.537432,-0.24005374,-0.24359775,-0.40129107,-0.32225484,-0.4537753,0.26834956,0.11455016,-0.23261315,-0.6309796,-0.02160301,-0.07786253,False
24,3,69576,22,1,Probability-Weighted Decision-Maker,4,"Considering the maximum potential loss, I am more inclined to choose Option B, which carries less risk of a large loss.",521,640,338,0.9046505093574524,Q04,"Which option do you prefer? Option A: -6000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: -4000.0 dollars with 25.0 % chance, -2000.0 dollars with 25.0 % chance, 0.0 dollars with 50.0 % chance.",1,Probability-Weighted Decision-Maker,-0.95895046,-0.8422437,-0.34193853,-0.28638893,-0.48102635,-0.4166463,-0.47529805,0.327787,0.26403332,-0.2379866,-0.8095617,-0.070271954,-0.20913878,False
25,3,69576,22,1,Probability-Weighted Decision-Maker,5,"Therefore, I will choose Option X.",642,676,347,0.9046505093574524,Q04,"Which option do you prefer? Option A: -6000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: -4000.0 dollars with 25.0 % chance, -2000.0 dollars with 25.0 % chance, 0.0 dollars with 50.0 % chance.",1,Probability-Weighted Decision-Maker,-0.68622816,-0.60170984,-0.27168176,-0.19041216,-0.43392754,-0.3220796,-0.3776623,0.49521646,0.08257027,-0.30510816,-0.6619066,-0.077089526,-0.110471964,True
26,4,69576,23,1,Probability-Weighted Decision-Maker,0,Let's analyze these two options.,0,32,125,0.8354835510253906,Q05,"Which option do you prefer? Option A: 5000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 5.0 dollars with 100.0 % chance.",1,Probability-Weighted Decision-Maker,-0.55099803,-0.6428283,0.528458,0.5279969,-0.28385216,-0.029704988,0.37266243,-0.28341055,-0.28693128,0.072954044,-0.08975054,0.10786994,0.47155908,False
27,4,69576,23,1,Probability-Weighted Decision-Maker,1,"Option A is offering a 0.1% chance of winning $5000, and a 99.9% chance of winning nothing.",35,126,158,0.8354835510253906,Q05,"Which option do you prefer? Option A: 5000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 5.0 dollars with 100.0 % chance.",1,Probability-Weighted Decision-Maker,-0.39995974,-0.62066394,0.39185083,0.49032572,-0.17105573,-0.18357037,-0.25070387,-0.012733281,0.075753525,-0.038481474,-0.1754006,-0.20633672,0.23596834,False
28,4,69576,23,1,Probability-Weighted Decision-Maker,2,"This means that, statistically speaking, I could expect to gain 0.1% * $5000 = $5 from this gamble.",127,226,188,0.8354835510253906,Q05,"Which option do you prefer? Option A: 5000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 5.0 dollars with 100.0 % chance.",1,Probability-Weighted Decision-Maker,-0.2770779,-0.14894874,-0.3406041,-0.4035291,-0.37811488,-0.22079651,-0.27357227,0.5712136,0.6289967,-0.24337521,-0.70058644,-0.1103272,0.31159037,False
29,4,69576,23,1,Probability-Weighted Decision-Maker,3,"Option B is offering a 100% chance of winning $5, which means that I am guaranteed to gain $5 from this gamble.",228,339,219,0.8354835510253906,Q05,"Which option do you prefer? Option A: 5000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 5.0 dollars with 100.0 % chance.",1,Probability-Weighted Decision-Maker,-0.0028115474,0.09727983,0.57211834,0.5105117,0.06705134,0.5788087,0.6129927,-0.38846642,-0.32978797,0.45819643,0.33823055,-0.30129498,0.48890197,False
30,4,69576,23,1,Probability-Weighted Decision-Maker,4,"Both options provide the same expected value, but Option B does so without any risk.",341,425,237,0.8354835510253906,Q05,"Which option do you prefer? Option A: 5000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 5.0 dollars with 100.0 % chance.",1,Probability-Weighted Decision-Maker,-0.37736687,-0.28594363,0.27846482,0.20426106,-0.30095875,0.2777786,0.23519474,-0.20458385,-0.1741947,0.017423213,0.029305339,-0.24667093,0.6306031,False
31,4,69576,23,1,Probability-Weighted Decision-Maker,5,"Even though the potential payout of Option A is significantly higher, the chances of that happening are very slim.",426,540,258,0.8354835510253906,Q05,"Which option do you prefer? Option A: 5000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 5.0 dollars with 100.0 % chance.",1,Probability-Weighted Decision-Maker,-0.024826836,-0.11034532,0.5118973,0.5089896,0.078514524,-0.07920663,0.5638759,-0.3714375,-0.3224916,0.2983105,0.21783096,-0.26730517,0.0451619,False
32,4,69576,23,1,Probability-Weighted Decision-Maker,6,"On the other hand, Option B provides a sure gain.",541,590,270,0.8354835510253906,Q05,"Which option do you prefer? Option A: 5000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 5.0 dollars with 100.0 % chance.",1,Probability-Weighted Decision-Maker,-0.13340293,-0.06459279,0.4734271,0.4236114,-0.10253339,0.18297966,0.50176233,-0.35296267,-0.3037637,0.27364245,0.19660316,-0.11452016,0.367629,False
33,4,69576,23,1,Probability-Weighted Decision-Maker,7,"Taking all these factors into account, I will choose Option X.",592,654,284,0.8354835510253906,Q05,"Which option do you prefer? Option A: 5000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 5.0 dollars with 100.0 % chance.",1,Probability-Weighted Decision-Maker,-0.6433632,-0.75142705,-0.39496127,-0.23818266,-0.48472834,-0.3233512,-0.36248988,0.5341556,-0.112888515,-0.39938745,-0.77110374,-0.07736999,0.41705677,True
34,5,69576,24,1,Probability-Weighted Decision-Maker,0,Let's analyze both options in terms of their expected values.,0,61,145,0.7549149990081787,Q06,"Which option do you prefer? Option A: 6000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 3000.0 dollars with 0.2 % chance, 0.0 dollars with 99.8 % chance.",1,Probability-Weighted Decision-Maker,-0.6789748,-0.6732186,0.27403286,0.51776314,-0.52209103,-0.036249638,-0.030036986,0.21348605,0.24097498,-0.26778564,-0.19560294,0.38235644,2.388232,False
35,5,69576,24,1,Probability-Weighted Decision-Maker,1,"The expected value is calculated by multiplying each possible outcome by the probability of that outcome, then summing these values.",62,194,168,0.7549149990081787,Q06,"Which option do you prefer? Option A: 6000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 3000.0 dollars with 0.2 % chance, 0.0 dollars with 99.8 % chance.",1,Probability-Weighted Decision-Maker,-0.6944337,-0.80953157,0.26623732,0.66625166,-0.35818624,-0.21378662,-0.45473456,0.15748903,0.18339975,-0.25305286,-0.2091646,0.75516737,2.3183014,False
36,5,69576,24,1,Probability-Weighted Decision-Maker,2,"For Option A, the expected value is (6000 dollars * 0.001) + (0 dollars * 0.999) = 6 dollars.",196,289,208,0.7549149990081787,Q06,"Which option do you prefer? Option A: 6000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 3000.0 dollars with 0.2 % chance, 0.0 dollars with 99.8 % chance.",1,Probability-Weighted Decision-Maker,-0.40088916,-0.28441736,0.3794095,0.26409495,-0.248445,0.45679343,0.44346145,-0.08981823,-0.15284036,0.12437685,-0.029687032,-0.3863416,1.9643221,False
37,5,69576,24,1,Probability-Weighted Decision-Maker,3,"For Option B, the expected value is (3000 dollars * 0.002) + (0 dollars * 0.998) = 6 dollars.",291,384,248,0.7549149990081787,Q06,"Which option do you prefer? Option A: 6000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 3000.0 dollars with 0.2 % chance, 0.0 dollars with 99.8 % chance.",1,Probability-Weighted Decision-Maker,0.2325369,0.32647318,0.58360183,0.52678907,0.28793383,0.037459224,0.3462179,-0.33940113,-0.2787887,0.32284907,0.46154308,0.10048507,1.1562345,False
38,5,69576,24,1,Probability-Weighted Decision-Maker,4,It's interesting to note that both options have the same expected value.,386,458,263,0.7549149990081787,Q06,"Which option do you prefer? Option A: 6000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 3000.0 dollars with 0.2 % chance, 0.0 dollars with 99.8 % chance.",1,Probability-Weighted Decision-Maker,-0.31773642,-0.24844632,0.57601786,0.555035,-0.10828065,0.17536446,0.07406056,-0.3759575,-0.32642543,0.28086296,0.14108065,-0.022298448,1.8302821,False
39,5,69576,24,1,Probability-Weighted Decision-Maker,5,"However, it's also important to consider that with Option B, there's twice the chance of winning compared to Option A, even though the potential winnings are half as much.",459,630,298,0.7549149990081787,Q06,"Which option do you prefer? Option A: 6000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 3000.0 dollars with 0.2 % chance, 0.0 dollars with 99.8 % chance.",1,Probability-Weighted Decision-Maker,-0.26030034,-0.33428666,0.32057828,0.32773086,-0.0390884,-0.12397836,-0.175776,-0.21153916,-0.22325934,-0.017929912,-0.18605946,0.26675308,1.7557408,False
40,5,69576,24,1,Probability-Weighted Decision-Maker,6,"Given these considerations, I will choose Option X.",632,683,309,0.7549149990081787,Q06,"Which option do you prefer? Option A: 6000.0 dollars with 0.1 % chance, 0.0 dollars with 99.9 % chance. Option B: 3000.0 dollars with 0.2 % chance, 0.0 dollars with 99.8 % chance.",1,Probability-Weighted Decision-Maker,-0.67910856,-0.6542779,-0.49656823,-0.4562896,-0.4879666,-0.3146153,-0.3836879,0.64155114,0.09962149,-0.3890176,-0.82312906,-0.21418579,2.339428,True
41,6,69576,25,0,Probability-Weighted Decision-Maker,0,Let's analyze both options by calculating their expected values.,0,64,146,0.1192029193043708,Q07,"Which option do you prefer? Option A: 4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: 3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",0,Probability-Weighted Decision-Maker,-0.7927999,-0.7280656,0.25171316,0.55688816,-0.572324,-0.15691005,-0.19044179,0.23127764,0.24335177,-0.34072486,-0.25482392,0.5583743,1.9269137,False
42,6,69576,25,0,Probability-Weighted Decision-Maker,1,The expected value is calculated by multiplying each possible outcome by its probability and then adding these values up.,67,188,167,0.1192029193043708,Q07,"Which option do you prefer? Option A: 4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: 3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",0,Probability-Weighted Decision-Maker,-0.6120124,-0.8808545,0.37749422,0.68657583,-0.29011458,-0.054632008,-0.29028898,-0.026885077,0.030569151,0.0068677664,-0.121844724,0.6619743,1.9180031,False
43,6,69576,25,0,Probability-Weighted Decision-Maker,2,"For Option A, the expected value would be (4000 * 0.20) + (0 * 0.80) = 800 dollars.",191,274,206,0.1192029193043708,Q07,"Which option do you prefer? Option A: 4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: 3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",0,Probability-Weighted Decision-Maker,0.030053377,0.11671801,0.054527998,-0.016224355,0.05578258,0.084545285,0.04292199,-0.08781542,-0.060075156,0.17448428,-0.18583174,0.40074348,1.3341881,False
44,6,69576,25,0,Probability-Weighted Decision-Maker,3,"For Option B, the expected value would be (3000 * 0.25) + (0 * 0.75) = 750 dollars.",276,359,245,0.1192029193043708,Q07,"Which option do you prefer? Option A: 4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: 3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",0,Probability-Weighted Decision-Maker,-0.32987452,-0.2620081,0.41983604,0.3443997,-0.13415617,0.08889076,0.021603018,-0.24856639,-0.27291226,0.122488305,-0.010225013,0.28969032,1.4744318,False
45,6,69576,25,0,Probability-Weighted Decision-Maker,4,"Looking at these expected values, Option A has a higher expected value than Option B.",361,446,263,0.1192029193043708,Q07,"Which option do you prefer? Option A: 4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: 3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",0,Probability-Weighted Decision-Maker,-0.5130032,-0.40481848,0.33954287,0.29599628,-0.26496878,0.10441678,-0.007893622,-0.07691984,-0.10909953,0.038977638,-0.1275708,-0.0706266,1.4201174,False
46,6,69576,25,0,Probability-Weighted Decision-Maker,5,"Therefore, I will choose Option X.",449,483,272,0.1192029193043708,Q07,"Which option do you prefer? Option A: 4000.0 dollars with 20.0 % chance, 0.0 dollars with 80.0 % chance. Option B: 3000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance.",0,Probability-Weighted Decision-Maker,-0.2946211,-0.3467346,-0.54861104,-0.49490434,-0.27277142,-0.25718892,-0.4225312,0.3700767,0.16695528,-0.3094441,-0.8233397,0.20583308,1.5501889,True
47,7,69576,26,0,Probability-Weighted Decision-Maker,0,"Looking at these two options, I need to weigh the potential rewards against the risks.",0,86,139,0.2450850158929824,Q08,"Which option do you prefer? Option A: 4000.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: 3000.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.5254169,-0.6102792,0.36810148,0.5116917,-0.28741425,-0.08451684,0.18166506,-0.02251783,-0.1530105,-0.12799612,-0.22339766,0.24504262,-0.47568244,False
48,7,69576,26,0,Probability-Weighted Decision-Maker,1,"For Option A, there is a 80% chance of winning $4000 and a 20% chance of winning nothing.",87,176,169,0.2450850158929824,Q08,"Which option do you prefer? Option A: 4000.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: 3000.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.5122979,-0.39712998,-0.23186949,-0.16836715,-0.45720607,-0.34673786,-0.3976122,0.44538632,0.50591046,-0.25492194,-0.72074354,-0.018330224,-0.58293897,False
