participant_id,trial_index,choice,choice_B,problem_id,lottery_A,lottery_B,probabilities_A,outcomes_A,probabilities_B,outcomes_B
P001,17,B,1,problem5294,0.78125% chance of -11.5; 5.46875% chance of -10.5; 16.4062% chance of -9.5; 27.3438% chance of -8.5; 27.3438% chance of -7.5; 16.4062% chance of -6.5; 5.46875% chance of -5.5; 0.78125% chance of -4.5,-8 for sure,"[0.0078125, 0.0546875, 0.1640625, 0.2734375, 0.2734375, 0.1640625, 0.0546875, 0.0078125]","[-11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5]",[1.0],[-8.0]
P001,18,B,1,problem9237,60% chance of -5; 40% chance of 17,5% chance of 20; 95% chance of 4,"[0.6, 0.4]","[-5.0, 17.0]","[0.05, 0.95]","[20.0, 4.0]"
P001,19,B,1,problem385,16 for sure,95% chance of 18; 5% chance of 46,[1.0],[16.0],"[0.95, 0.05]","[18.0, 46.0]"
P001,20,A,0,problem6052,90% chance of 12; 10% chance of 15,11 for sure,"[0.9, 0.1]","[12.0, 15.0]",[1.0],[11.0]
P001,21,A,0,problem6710,40% chance of -41; 60% chance of 81,22 for sure,"[0.4, 0.6]","[-41.0, 81.0]",[1.0],[22.0]
P001,22,B,1,problem5523,8 for sure,99% chance of 5; 1% chance of 82,[1.0],[8.0],"[0.99, 0.01]","[5.0, 82.0]"
P001,23,A,0,problem250,95% chance of 2; 0.03906% chance of 93.5; 0.27344% chance of 94.5; 0.82031% chance of 95.5; 1.36719% chance of 96.5; 1.36719% chance of 97.5; 0.82031% chance of 98.5; 0.27344% chance of 99.5; 0.03906% chance of 100.5,5% chance of 66; 95% chance of 11,"[0.95, 0.00039059999999999995, 0.0027344, 0.0082031, 0.013671899999999999, 0.013671899999999999, 0.0082031, 0.0027344, 0.00039059999999999995]","[2.0, 93.5, 94.5, 95.5, 96.5, 97.5, 98.5, 99.5, 100.5]","[0.05, 0.95]","[66.0, 11.0]"
P001,24,B,1,problem13164,26 for sure,75% chance of 5; 25% chance of 101,[1.0],[26.0],"[0.75, 0.25]","[5.0, 101.0]"
P001,25,B,1,problem10112,3 for sure,25% chance of 24; 75% chance of -4,[1.0],[3.0],"[0.25, 0.75]","[24.0, -4.0]"
P001,26,A,0,problem12256,80% chance of 20; 20% chance of 28,21 for sure,"[0.8, 0.2]","[20.0, 28.0]",[1.0],[21.0]
P001,27,A,0,problem8870,75% chance of -27; 12.5% chance of 39.5; 12.5% chance of 40.5,40% chance of 16; 60% chance of -21,"[0.75, 0.125, 0.125]","[-27.0, 39.5, 40.5]","[0.4, 0.6]","[16.0, -21.0]"
P001,28,B,1,problem12916,25 for sure,50% chance of -17; 50% chance of 85,[1.0],[25.0],"[0.5, 0.5]","[-17.0, 85.0]"
P001,29,A,0,problem12158,95% chance of 6; 0.15625% chance of 8.5; 0.78125% chance of 9.5; 1.5625% chance of 10.5; 1.5625% chance of 11.5; 0.78125% chance of 12.5; 0.15625% chance of 13.5,1 for sure,"[0.95, 0.0015625, 0.0078125, 0.015625, 0.015625, 0.0078125, 0.0015625]","[6.0, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5]",[1.0],[1.0]
P001,30,A,0,problem3874,90% chance of 3; 0.07812% chance of 42.5; 0.54688% chance of 43.5; 1.64062% chance of 44.5; 2.73438% chance of 45.5; 2.73438% chance of 46.5; 1.64062% chance of 47.5; 0.54688% chance of 48.5; 0.07812% chance of 49.5,40% chance of 30; 60% chance of -20,"[0.9, 0.0007811999999999999, 0.0054688, 0.0164062, 0.027343799999999998, 0.027343799999999998, 0.0164062, 0.0054688, 0.0007811999999999999]","[3.0, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5]","[0.4, 0.6]","[30.0, -20.0]"
P001,31,B,1,problem145,6 for sure,99% chance of 2; 0.5% chance of 76.5; 0.5% chance of 77.5,[1.0],[6.0],"[0.99, 0.005, 0.005]","[2.0, 76.5, 77.5]"
P001,32,A,0,problem13651,80% chance of -1; 10% chance of 103; 5% chance of 105; 2.5% chance of 109; 1.25% chance of 117; 1.25% chance of 133,18 for sure,"[0.8, 0.1, 0.05, 0.025, 0.0125, 0.0125]","[-1.0, 103.0, 105.0, 109.0, 117.0, 133.0]",[1.0],[18.0]
P001,33,B,1,problem739,25% chance of 9; 75% chance of 21,18 for sure,"[0.25, 0.75]","[9.0, 21.0]",[1.0],[18.0]
P001,34,B,1,problem6763,-2 for sure,90% chance of -17; 10% chance of 32,[1.0],[-2.0],"[0.9, 0.1]","[-17.0, 32.0]"
P001,35,B,1,problem220,75% chance of 21; 25% chance of 21,60% chance of -45; 40% chance of 115,"[0.75, 0.25]","[21.0, 21.0]","[0.6, 0.4]","[-45.0, 115.0]"
P001,36,A,0,problem7418,90% chance of 16; 1.25% chance of 16.5; 3.75% chance of 17.5; 3.75% chance of 18.5; 1.25% chance of 19.5,25% chance of 52; 75% chance of 11,"[0.9, 0.0125, 0.0375, 0.0375, 0.0125]","[16.0, 16.5, 17.5, 18.5, 19.5]","[0.25, 0.75]","[52.0, 11.0]"
P001,37,B,1,problem6209,50% chance of 5; 50% chance of 6,20% chance of 72; 80% chance of -8,"[0.5, 0.5]","[5.0, 6.0]","[0.2, 0.8]","[72.0, -8.0]"
P001,38,A,0,problem3865,95% chance of 1; 5% chance of 54,4 for sure,"[0.95, 0.05]","[1.0, 54.0]",[1.0],[4.0]
P001,39,A,0,problem2421,75% chance of 14; 25% chance of -38,10% chance of -18; 45% chance of 9.5; 45% chance of 10.5,"[0.75, 0.25]","[14.0, -38.0]","[0.1, 0.45, 0.45]","[-18.0, 9.5, 10.5]"
P001,40,A,0,problem8413,75% chance of 5; 3.125% chance of 19.5; 9.375% chance of 20.5; 9.375% chance of 21.5; 3.125% chance of 22.5,4 for sure,"[0.75, 0.03125, 0.09375, 0.09375, 0.03125]","[5.0, 19.5, 20.5, 21.5, 22.5]",[1.0],[4.0]
P002,1,B,1,problem1963,95% chance of 11; 5% chance of -14,60% chance of -25; 40% chance of 68,"[0.95, 0.05]","[11.0, -14.0]","[0.6, 0.4]","[-25.0, 68.0]"
P002,2,A,0,problem741,28 for sure,80% chance of 1; 20% chance of 86,[1.0],[28.0],"[0.8, 0.2]","[1.0, 86.0]"
P002,3,B,1,problem10140,13 for sure,95% chance of 14; 5% chance of 55,[1.0],[13.0],"[0.95, 0.05]","[14.0, 55.0]"
P002,4,B,1,problem5825,-7 for sure,95% chance of -6; 5% chance of 23,[1.0],[-7.0],"[0.95, 0.05]","[-6.0, 23.0]"
P002,5,B,1,problem2138,26 for sure,25% chance of 11; 37.5% chance of 37; 18.75% chance of 35; 9.375% chance of 31; 4.6875% chance of 23; 4.6875% chance of 7,[1.0],[26.0],"[0.25, 0.375, 0.1875, 0.09375, 0.046875, 0.046875]","[11.0, 37.0, 35.0, 31.0, 23.0, 7.0]"
P002,6,B,1,problem1735,1% chance of 26; 3.09375% chance of 25.5; 15.4688% chance of 26.5; 30.9375% chance of 27.5; 30.9375% chance of 28.5; 15.4688% chance of 29.5; 3.09375% chance of 30.5,30 for sure,"[0.01, 0.0309375, 0.1546875, 0.309375, 0.309375, 0.1546875, 0.0309375]","[26.0, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5]",[1.0],[30.0]
P002,7,B,1,problem11757,50% chance of 8.5; 50% chance of 9.5,9 for sure,"[0.5, 0.5]","[8.5, 9.5]",[1.0],[9.0]
P002,8,A,0,problem12178,5% chance of -13; 95% chance of 27,99% chance of 22; 1% chance of -17,"[0.05, 0.95]","[-13.0, 27.0]","[0.99, 0.01]","[22.0, -17.0]"
P002,9,A,0,problem10956,75% chance of -6; 25% chance of 45,-3 for sure,"[0.75, 0.25]","[-6.0, 45.0]",[1.0],[-3.0]
P002,10,A,0,problem4996,13 for sure,99% chance of 9; 1% chance of 55,[1.0],[13.0],"[0.99, 0.01]","[9.0, 55.0]"
P002,11,B,1,problem12327,90% chance of 7; 10% chance of 55,19 for sure,"[0.9, 0.1]","[7.0, 55.0]",[1.0],[19.0]
P002,12,A,0,problem9648,20% chance of 17; 80% chance of 12,40% chance of 1; 60% chance of 20,"[0.2, 0.8]","[17.0, 12.0]","[0.4, 0.6]","[1.0, 20.0]"
P002,13,A,0,problem6825,-4 for sure,40% chance of -20; 7.5% chance of 1.5; 22.5% chance of 2.5; 22.5% chance of 3.5; 7.5% chance of 4.5,[1.0],[-4.0],"[0.4, 0.075, 0.225, 0.225, 0.075]","[-20.0, 1.5, 2.5, 3.5, 4.5]"
P002,14,A,0,problem10157,25% chance of 27; 75% chance of 16,90% chance of 9; 5% chance of 40.5; 5% chance of 41.5,"[0.25, 0.75]","[27.0, 16.0]","[0.9, 0.05, 0.05]","[9.0, 40.5, 41.5]"
P002,15,B,1,problem4841,60% chance of -20; 40% chance of 24,-2 for sure,"[0.6, 0.4]","[-20.0, 24.0]",[1.0],[-2.0]
P002,16,B,1,problem7103,20 for sure,20% chance of 21; 40% chance of 24; 20% chance of 22; 20% chance of 18,[1.0],[20.0],"[0.2, 0.4, 0.2, 0.2]","[21.0, 24.0, 22.0, 18.0]"
P002,17,A,0,problem4033,5% chance of 25; 95% chance of 20,75% chance of -13; 25% chance of 82,"[0.05, 0.95]","[25.0, 20.0]","[0.75, 0.25]","[-13.0, 82.0]"
P002,18,B,1,problem10872,40% chance of -33; 60% chance of 49,9 for sure,"[0.4, 0.6]","[-33.0, 49.0]",[1.0],[9.0]
P002,19,A,0,problem2442,20 for sure,80% chance of 5; 20% chance of 79,[1.0],[20.0],"[0.8, 0.2]","[5.0, 79.0]"
P002,20,A,0,problem5263,5% chance of -5; 2.96875% chance of 0.5; 14.8438% chance of 1.5; 29.6875% chance of 2.5; 29.6875% chance of 3.5; 14.8438% chance of 4.5; 2.96875% chance of 5.5,20% chance of 34; 80% chance of -16,"[0.05, 0.0296875, 0.1484375, 0.296875, 0.296875, 0.1484375, 0.0296875]","[-5.0, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5]","[0.2, 0.8]","[34.0, -16.0]"
P002,21,A,0,problem6391,99% chance of -6; 1% chance of 38,-10 for sure,"[0.99, 0.01]","[-6.0, 38.0]",[1.0],[-10.0]
P002,22,B,1,problem659,18 for sure,75% chance of 22; 25% chance of 33,[1.0],[18.0],"[0.75, 0.25]","[22.0, 33.0]"
P002,23,A,0,problem3301,90% chance of 24; 10% chance of 61,75% chance of 39; 25% chance of -14,"[0.9, 0.1]","[24.0, 61.0]","[0.75, 0.25]","[39.0, -14.0]"
P002,24,B,1,problem8605,60% chance of -33; 1.25% chance of 65.5; 6.25% chance of 66.5; 12.5% chance of 67.5; 12.5% chance of 68.5; 6.25% chance of 69.5; 1.25% chance of 70.5,5% chance of 15; 95% chance of -1,"[0.6, 0.0125, 0.0625, 0.125, 0.125, 0.0625, 0.0125]","[-33.0, 65.5, 66.5, 67.5, 68.5, 69.5, 70.5]","[0.05, 0.95]","[15.0, -1.0]"
P002,25,A,0,problem3629,22 for sure,10% chance of 15; 90% chance of 17,[1.0],[22.0],"[0.1, 0.9]","[15.0, 17.0]"
P002,26,B,1,problem1271,50% chance of 19; 50% chance of -9,25% chance of 4; 75% chance of 8,"[0.5, 0.5]","[19.0, -9.0]","[0.25, 0.75]","[4.0, 8.0]"
P002,27,A,0,problem9083,4 for sure,40% chance of -13; 60% chance of 26,[1.0],[4.0],"[0.4, 0.6]","[-13.0, 26.0]"
P002,28,A,0,problem6789,75% chance of -9; 25% chance of 68,40% chance of 30; 60% chance of -10,"[0.75, 0.25]","[-9.0, 68.0]","[0.4, 0.6]","[30.0, -10.0]"
P002,29,B,1,problem872,50% chance of 28; 50% chance of 24,26 for sure,"[0.5, 0.5]","[28.0, 24.0]",[1.0],[26.0]
P002,30,B,1,problem12712,75% chance of -10; 25% chance of 52,7 for sure,"[0.75, 0.25]","[-10.0, 52.0]",[1.0],[7.0]
P002,31,A,0,problem8434,20% chance of -11; 80% chance of 30,14 for sure,"[0.2, 0.8]","[-11.0, 30.0]",[1.0],[14.0]
P002,32,A,0,problem6357,26 for sure,90% chance of 22; 1.25% chance of 53.5; 3.75% chance of 54.5; 3.75% chance of 55.5; 1.25% chance of 56.5,[1.0],[26.0],"[0.9, 0.0125, 0.0375, 0.0375, 0.0125]","[22.0, 53.5, 54.5, 55.5, 56.5]"
P002,33,B,1,problem4998,3 for sure,95% chance of 9; 0.15625% chance of 29.5; 0.78125% chance of 30.5; 1.5625% chance of 31.5; 1.5625% chance of 32.5; 0.78125% chance of 33.5; 0.15625% chance of 34.5,[1.0],[3.0],"[0.95, 0.0015625, 0.0078125, 0.015625, 0.015625, 0.0078125, 0.0015625]","[9.0, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5]"
P002,34,A,0,problem10000,29 for sure,50% chance of -22; 6.25% chance of 78.5; 18.75% chance of 79.5; 18.75% chance of 80.5; 6.25% chance of 81.5,[1.0],[29.0],"[0.5, 0.0625, 0.1875, 0.1875, 0.0625]","[-22.0, 78.5, 79.5, 80.5, 81.5]"
P002,35,A,0,problem5391,-3 for sure,75% chance of -22; 25% chance of 63,[1.0],[-3.0],"[0.75, 0.25]","[-22.0, 63.0]"
P002,36,A,0,problem1780,-7 for sure,25% chance of -35; 37.5% chance of 4.5; 37.5% chance of 5.5,[1.0],[-7.0],"[0.25, 0.375, 0.375]","[-35.0, 4.5, 5.5]"
P002,37,B,1,problem727,40% chance of 49; 60% chance of -18,60% chance of -17; 40% chance of 63,"[0.4, 0.6]","[49.0, -18.0]","[0.6, 0.4]","[-17.0, 63.0]"
P002,38,B,1,problem8015,10% chance of -33; 90% chance of 20,16 for sure,"[0.1, 0.9]","[-33.0, 20.0]",[1.0],[16.0]
P002,39,B,1,problem13492,90% chance of -22; 10% chance of 1,50% chance of 29; 50% chance of -47,"[0.9, 0.1]","[-22.0, 1.0]","[0.5, 0.5]","[29.0, -47.0]"
P002,40,A,0,problem10046,-1 for sure,10% chance of -6; 0.70312% chance of -7.5; 4.92188% chance of -6.5; 14.7656% chance of -5.5; 24.6094% chance of -4.5; 24.6094% chance of -3.5; 14.7656% chance of -2.5; 4.92188% chance of -1.5; 0.70312% chance of -0.5,[1.0],[-1.0],"[0.1, 0.0070312, 0.0492188, 0.1476563, 0.24609380000000003, 0.24609380000000003, 0.1476563, 0.0492188, 0.0070312]","[-6.0, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5]"
P003,1,A,0,problem4742,75% chance of 30; 25% chance of -26,25% chance of 2; 37.5% chance of 26; 37.5% chance of 24,"[0.75, 0.25]","[30.0, -26.0]","[0.25, 0.375, 0.375]","[2.0, 26.0, 24.0]"
P003,2,B,1,problem12064,21 for sure,99% chance of 22; 1% chance of 91,[1.0],[21.0],"[0.99, 0.01]","[22.0, 91.0]"
P003,3,A,0,problem14482,20% chance of 27; 80% chance of -13,99% chance of -6; 0.125% chance of 19.5; 0.375% chance of 20.5; 0.375% chance of 21.5; 0.125% chance of 22.5,"[0.2, 0.8]","[27.0, -13.0]","[0.99, 0.00125, 0.00375, 0.00375, 0.00125]","[-6.0, 19.5, 20.5, 21.5, 22.5]"
P003,4,B,1,problem9489,99% chance of 18; 1% chance of 3,80% chance of -1; 0.15625% chance of 42.5; 1.09375% chance of 43.5; 3.28125% chance of 44.5; 5.46875% chance of 45.5; 5.46875% chance of 46.5; 3.28125% chance of 47.5; 1.09375% chance of 48.5; 0.15625% chance of 49.5,"[0.99, 0.01]","[18.0, 3.0]","[0.8, 0.0015625, 0.0109375, 0.0328125, 0.0546875, 0.0546875, 0.0328125, 0.0109375, 0.0015625]","[-1.0, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5]"
P003,5,A,0,problem14121,75% chance of 9; 25% chance of 12,90% chance of 13; 10% chance of -10,"[0.75, 0.25]","[9.0, 12.0]","[0.9, 0.1]","[13.0, -10.0]"
P003,6,A,0,problem1536,80% chance of -37; 2.5% chance of 116.5; 7.5% chance of 117.5; 7.5% chance of 118.5; 2.5% chance of 119.5,-4 for sure,"[0.8, 0.025, 0.075, 0.075, 0.025]","[-37.0, 116.5, 117.5, 118.5, 119.5]",[1.0],[-4.0]
P003,7,A,0,problem10215,7 for sure,5% chance of -29; 47.5% chance of 2.5; 47.5% chance of 3.5,[1.0],[7.0],"[0.05, 0.475, 0.475]","[-29.0, 2.5, 3.5]"
P003,8,A,0,problem6825,-4 for sure,40% chance of -20; 7.5% chance of 1.5; 22.5% chance of 2.5; 22.5% chance of 3.5; 7.5% chance of 4.5,[1.0],[-4.0],"[0.4, 0.075, 0.225, 0.225, 0.075]","[-20.0, 1.5, 2.5, 3.5, 4.5]"
P003,9,B,1,problem9997,20% chance of 23; 80% chance of 19,80% chance of 8; 0.15625% chance of 48.5; 1.09375% chance of 49.5; 3.28125% chance of 50.5; 5.46875% chance of 51.5; 5.46875% chance of 52.5; 3.28125% chance of 53.5; 1.09375% chance of 54.5; 0.15625% chance of 55.5,"[0.2, 0.8]","[23.0, 19.0]","[0.8, 0.0015625, 0.0109375, 0.0328125, 0.0546875, 0.0546875, 0.0328125, 0.0109375, 0.0015625]","[8.0, 48.5, 49.5, 50.5, 51.5, 52.5, 53.5, 54.5, 55.5]"
P003,10,A,0,problem11986,24 for sure,5% chance of -32; 47.5% chance of 35; 23.75% chance of 33; 11.875% chance of 29; 5.9375% chance of 21; 2.96875% chance of 5; 2.96875% chance of -27,[1.0],[24.0],"[0.05, 0.475, 0.2375, 0.11875, 0.059375, 0.0296875, 0.0296875]","[-32.0, 35.0, 33.0, 29.0, 21.0, 5.0, -27.0]"
P003,11,B,1,problem1684,90% chance of -11; 10% chance of 3,-9 for sure,"[0.9, 0.1]","[-11.0, 3.0]",[1.0],[-9.0]
P003,12,A,0,problem661,40% chance of 54; 60% chance of -14,90% chance of 9; 10% chance of 49,"[0.4, 0.6]","[54.0, -14.0]","[0.9, 0.1]","[9.0, 49.0]"
P003,13,B,1,problem4530,75% chance of -6; 25% chance of -17,25% chance of -12; 37.5% chance of -3.5; 37.5% chance of -2.5,"[0.75, 0.25]","[-6.0, -17.0]","[0.25, 0.375, 0.375]","[-12.0, -3.5, -2.5]"
P003,14,A,0,problem13311,90% chance of -4; 10% chance of 42,-7 for sure,"[0.9, 0.1]","[-4.0, 42.0]",[1.0],[-7.0]
P003,15,A,0,problem4099,99% chance of 11; 1% chance of 50,3 for sure,"[0.99, 0.01]","[11.0, 50.0]",[1.0],[3.0]
P003,16,B,1,problem95,50% chance of -3; 6.25% chance of 28.5; 18.75% chance of 29.5; 18.75% chance of 30.5; 6.25% chance of 31.5,60% chance of 10; 40% chance of 7,"[0.5, 0.0625, 0.1875, 0.1875, 0.0625]","[-3.0, 28.5, 29.5, 30.5, 31.5]","[0.6, 0.4]","[10.0, 7.0]"
P003,17,A,0,problem4509,50% chance of -21; 50% chance of 26,20% chance of 51; 80% chance of -9,"[0.5, 0.5]","[-21.0, 26.0]","[0.2, 0.8]","[51.0, -9.0]"
P003,18,B,1,problem2909,99% chance of -2; 1% chance of 49,25% chance of -1; 75% chance of -6,"[0.99, 0.01]","[-2.0, 49.0]","[0.25, 0.75]","[-1.0, -6.0]"
P003,19,A,0,problem13755,40% chance of 80; 60% chance of -20,75% chance of 15; 25% chance of 17,"[0.4, 0.6]","[80.0, -20.0]","[0.75, 0.25]","[15.0, 17.0]"
P003,20,A,0,problem5617,50% chance of 5; 50% chance of 9,-1 for sure,"[0.5, 0.5]","[5.0, 9.0]",[1.0],[-1.0]
P003,21,B,1,problem789,75% chance of -7; 12.5% chance of 56.5; 12.5% chance of 57.5,3 for sure,"[0.75, 0.125, 0.125]","[-7.0, 56.5, 57.5]",[1.0],[3.0]
P003,22,A,0,problem49,-9 for sure,50% chance of -20; 25% chance of -4.5; 25% chance of -3.5,[1.0],[-9.0],"[0.5, 0.25, 0.25]","[-20.0, -4.5, -3.5]"
P003,23,B,1,problem5129,90% chance of 8; 5% chance of 28; 5% chance of 26,17 for sure,"[0.9, 0.05, 0.05]","[8.0, 28.0, 26.0]",[1.0],[17.0]
P003,24,B,1,problem8475,27 for sure,90% chance of 32; 10% chance of 46,[1.0],[27.0],"[0.9, 0.1]","[32.0, 46.0]"
P003,25,B,1,problem2775,80% chance of -16; 20% chance of -8,-9 for sure,"[0.8, 0.2]","[-16.0, -8.0]",[1.0],[-9.0]
P003,26,B,1,problem4715,25% chance of 89; 75% chance of 9,60% chance of -19; 5% chance of 108.5; 15% chance of 109.5; 15% chance of 110.5; 5% chance of 111.5,"[0.25, 0.75]","[89.0, 9.0]","[0.6, 0.05, 0.15, 0.15, 0.05]","[-19.0, 108.5, 109.5, 110.5, 111.5]"
P003,27,B,1,problem1904,1 for sure,99% chance of 5; 1% chance of 35,[1.0],[1.0],"[0.99, 0.01]","[5.0, 35.0]"
P003,28,B,1,problem2586,75% chance of -18; 25% chance of 43,95% chance of 0; 5% chance of -21,"[0.75, 0.25]","[-18.0, 43.0]","[0.95, 0.05]","[0.0, -21.0]"
P003,29,A,0,problem5266,80% chance of 12; 20% chance of -22,90% chance of 6; 1.25% chance of 30.5; 3.75% chance of 31.5; 3.75% chance of 32.5; 1.25% chance of 33.5,"[0.8, 0.2]","[12.0, -22.0]","[0.9, 0.0125, 0.0375, 0.0375, 0.0125]","[6.0, 30.5, 31.5, 32.5, 33.5]"
P003,30,A,0,problem11529,25% chance of 59; 75% chance of 4,40% chance of 4; 60% chance of 33,"[0.25, 0.75]","[59.0, 4.0]","[0.4, 0.6]","[4.0, 33.0]"
P003,31,A,0,problem10272,-1 for sure,5% chance of -20; 2.96875% chance of 2.5; 14.8438% chance of 3.5; 29.6875% chance of 4.5; 29.6875% chance of 5.5; 14.8438% chance of 6.5; 2.96875% chance of 7.5,[1.0],[-1.0],"[0.05, 0.0296875, 0.1484375, 0.296875, 0.296875, 0.1484375, 0.0296875]","[-20.0, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5]"
P003,32,A,0,problem5321,75% chance of 3; 25% chance of 64,25% chance of 65; 75% chance of -2,"[0.75, 0.25]","[3.0, 64.0]","[0.25, 0.75]","[65.0, -2.0]"
P003,33,B,1,problem13843,60% chance of -17; 1.25% chance of 106.5; 6.25% chance of 107.5; 12.5% chance of 108.5; 12.5% chance of 109.5; 6.25% chance of 110.5; 1.25% chance of 111.5,25% chance of 39; 75% chance of 19,"[0.6, 0.0125, 0.0625, 0.125, 0.125, 0.0625, 0.0125]","[-17.0, 106.5, 107.5, 108.5, 109.5, 110.5, 111.5]","[0.25, 0.75]","[39.0, 19.0]"
P003,34,A,0,problem5746,-1 for sure,99% chance of 1; 1% chance of 48,[1.0],[-1.0],"[0.99, 0.01]","[1.0, 48.0]"
P003,35,A,0,problem10241,8 for sure,60% chance of -15; 20% chance of 18; 10% chance of 20; 10% chance of 24,[1.0],[8.0],"[0.6, 0.2, 0.1, 0.1]","[-15.0, 18.0, 20.0, 24.0]"
P003,36,A,0,problem10396,50% chance of -41; 50% chance of 96,27 for sure,"[0.5, 0.5]","[-41.0, 96.0]",[1.0],[27.0]
P003,37,B,1,problem1497,95% chance of -5; 5% chance of -22,90% chance of -20; 10% chance of 93,"[0.95, 0.05]","[-5.0, -22.0]","[0.9, 0.1]","[-20.0, 93.0]"
P003,38,B,1,problem3265,25% chance of 13; 75% chance of 30,90% chance of 26; 10% chance of 17,"[0.25, 0.75]","[13.0, 30.0]","[0.9, 0.1]","[26.0, 17.0]"
P003,39,A,0,problem10671,12 for sure,75% chance of -3; 0.78125% chance of 47.5; 3.90625% chance of 48.5; 7.8125% chance of 49.5; 7.8125% chance of 50.5; 3.90625% chance of 51.5; 0.78125% chance of 52.5,[1.0],[12.0],"[0.75, 0.0078125, 0.0390625, 0.078125, 0.078125, 0.0390625, 0.0078125]","[-3.0, 47.5, 48.5, 49.5, 50.5, 51.5, 52.5]"
