row_id,Problem,Feedback,n,Block,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,bRate,bRate_std,lottery_A,lottery_B,ev_A,ev_B,sd_A,sd_B,min_A,min_B,max_A,max_B,n_outcomes_A,n_outcomes_B,majority_choice
142,115,False,16,1,25,1.0,25,42,0.8,-22,0,1,False,0,0.325,0.2909753712372692,$25 for sure,20% chance of -$22; 80% chance of $42,25.0,29.200000000000003,0.0,25.599999999999998,25.0,-22.0,25.0,42.0,1,2,A
144,116,False,33,1,6,1.0,6,77,0.01,2,1,2,False,0,0.5333333333333332,0.3796928583298173,$6 for sure,99% chance of $2; 0.5% chance of $76.5; 0.5% chance of $77.5,6.0,2.75,0.0,7.462573282722254,6.0,2.0,6.0,77.5,1,3,B
148,119,False,16,1,31,0.4,4,15,1.0,15,3,6,False,0,0.425,0.4187282332651254,40% chance of $31; 60% chance of $4,50% chance of $20; 25% chance of $18; 12.5% chance of $14; 6.25% chance of $6; 3.125% chance of -$10; 3.125% chance of -$42,14.8,15.0,13.227244611029162,11.874342087037917,4.0,-42.0,31.0,20.0,2,6,A
150,120,False,16,1,6,1.0,6,23,0.8,-13,0,1,False,0,0.775,0.2720294101747089,$6 for sure,20% chance of -$13; 80% chance of $23,6.0,15.800000000000002,0.0,14.4,6.0,-13.0,6.0,23.0,1,2,B
159,126,False,16,1,7,1.0,7,22,0.01,9,1,8,False,0,0.7374999999999999,0.3774917217635375,$7 for sure,99% chance of $9; 0.008% chance of $18.5; 0.055% chance of $19.5; 0.164% chance of $20.5; 0.273% chance of $21.5; 0.273% chance of $22.5; 0.164% chance of $23.5; 0.055% chance of $24.5; 0.008% chance of $25.5,7.0,9.13,0.0,1.3002307487519285,7.0,9.0,7.0,25.5,1,9,B
162,128,False,16,1,21,0.6,-11,20,0.75,-23,3,4,False,0,0.575,0.3991657967979388,60% chance of $21; 40% chance of -$11,25% chance of -$23; 37.5% chance of $23; 18.75% chance of $21; 9.375% chance of $17; 9.375% chance of $9,8.2,9.25,15.67673435381234,19.037791363495923,-11.0,-23.0,21.0,23.0,2,5,B
166,131,False,16,1,98,0.1,-6,4,1.0,4,1,2,False,0,0.65,0.4647580015448901,10% chance of $98; 90% chance of -$6,50% chance of $3.5; 50% chance of $4.5,4.4,4.0,31.2,0.5,-6.0,3.5,98.0,4.5,2,2,B
171,135,False,16,1,21,1.0,21,90,0.1,16,0,1,False,0,0.5999999999999999,0.4066120181860508,$21 for sure,90% chance of $16; 10% chance of $90,21.0,23.4,0.0,22.2,21.0,16.0,21.0,90.0,1,2,B
172,136,False,16,1,28,1.0,28,39,0.25,19,1,2,False,0,0.3375,0.4364630568559039,$28 for sure,75% chance of $19; 12.5% chance of $38.5; 12.5% chance of $39.5,28.0,24.0,0.0,8.663861725581729,28.0,19.0,28.0,39.5,1,3,A
173,137,False,16,1,2,0.25,-10,35,0.01,-10,2,7,False,0,0.6124999999999999,0.4161329915623931,25% chance of $2; 75% chance of -$10,99% chance of -$10; 0.5% chance of $29; 0.25% chance of $31; 0.125% chance of $35; 0.062% chance of $43; 0.031% chance of $59; 0.016% chance of $91; 0.016% chance of $155,-7.0,-9.549999999999995,5.196152422706632,4.819491674440479,-10.0,-10.0,2.0,155.0,2,8,B
175,138,False,16,1,-9,0.8,-15,-10,1.0,-10,1,4,False,0,0.4,0.4258325179379016,80% chance of -$9; 20% chance of -$15,12.5% chance of -$11.5; 37.5% chance of -$10.5; 37.5% chance of -$9.5; 12.5% chance of -$8.5,-10.2,-10.0,2.4,0.8660254037844386,-15.0,-11.5,-9.0,-8.5,2,4,A
178,140,False,16,1,27,1.0,27,70,0.5,-9,3,3,False,0,0.4125,0.3304037933599835,$27 for sure,50% chance of -$9; 25% chance of $72; 12.5% chance of $70; 12.5% chance of $66,27.0,30.5,0.0,39.53795644693843,27.0,-9.0,27.0,72.0,1,4,A
185,146,False,16,1,30,0.8,-15,23,0.05,17,3,3,False,0,0.7875000000000001,0.3222318006239194,80% chance of $30; 20% chance of -$15,95% chance of $17; 2.5% chance of $25; 1.25% chance of $23; 1.25% chance of $19,21.0,17.3,18.0,1.4177446878757827,-15.0,17.0,30.0,25.0,2,4,B
187,147,False,16,1,-2,1.0,-2,-3,0.75,-6,0,1,False,0,0.2125,0.3304037933599835,-$2 for sure,25% chance of -$6; 75% chance of -$3,-2.0,-3.75,0.0,1.299038105676658,-2.0,-6.0,-2.0,-3.0,1,2,A
188,148,False,16,1,11,1.0,11,33,0.75,-37,0,1,False,0,0.4375,0.4080441152620633,$11 for sure,25% chance of -$37; 75% chance of $33,11.0,15.5,0.0,30.31088913245535,11.0,-37.0,11.0,33.0,1,2,A
192,151,False,16,1,31,0.5,5,65,0.4,-4,0,1,False,0,0.2250000000000001,0.2909753712372693,50% chance of $31; 50% chance of $5,60% chance of -$4; 40% chance of $65,18.0,23.6,13.0,33.80295845040786,5.0,-4.0,31.0,65.0,2,2,A
197,156,False,16,1,-1,0.9,-25,1,0.4,-7,0,1,False,0,0.8124999999999999,0.3138470965295044,90% chance of -$1; 10% chance of -$25,60% chance of -$7; 40% chance of $1,-3.3999999999999995,-3.8000000000000003,7.2,3.9191835884530852,-25.0,-7.0,-1.0,1.0,2,2,B
198,157,False,16,1,23,1.0,23,89,0.5,-40,0,1,False,0,0.275,0.2516611478423583,$23 for sure,50% chance of -$40; 50% chance of $89,23.0,24.5,0.0,64.5,23.0,-40.0,23.0,89.0,1,2,A
201,160,False,16,1,15,1.0,15,51,0.5,-38,0,1,False,0,0.4,0.4381780460041329,$15 for sure,50% chance of -$38; 50% chance of $51,15.0,6.5,0.0,44.5,15.0,-38.0,15.0,51.0,1,2,A
209,167,False,16,1,3,1.0,3,30,0.5,-16,1,4,False,0,0.7375000000000002,0.3774917217635375,$3 for sure,50% chance of -$16; 6.25% chance of $28.5; 18.75% chance of $29.5; 18.75% chance of $30.5; 6.25% chance of $31.5,3.0,7.0,0.0,23.008150729687078,3.0,-16.0,3.0,31.5,1,5,B
213,171,False,16,1,40,0.5,18,29,1.0,29,1,4,False,0,0.2875,0.3180670788790734,50% chance of $40; 50% chance of $18,12.5% chance of $27.5; 37.5% chance of $28.5; 37.5% chance of $29.5; 12.5% chance of $30.5,29.0,29.0,11.0,0.8660254037844386,18.0,27.5,40.0,30.5,2,4,A
214,172,False,16,1,-7,1.0,-7,24,0.5,-32,0,1,False,0,0.7,0.4,-$7 for sure,50% chance of -$32; 50% chance of $24,-7.0,-4.0,0.0,28.0,-7.0,-32.0,-7.0,24.0,1,2,B
216,173,False,16,1,18,0.75,-19,78,0.2,-6,1,6,False,-1,0.6499999999999999,0.3055050463303893,75% chance of $18; 25% chance of -$19,80% chance of -$6; 0.625% chance of $75.5; 3.125% chance of $76.5; 6.25% chance of $77.5; 6.25% chance of $78.5; 3.125% chance of $79.5; 0.625% chance of $80.5,8.75,10.8,16.021469970012117,33.60372003216311,-19.0,-6.0,18.0,80.5,2,7,B
222,179,False,16,1,3,1.0,3,5,0.9,-39,3,4,False,0,0.275,0.3255764119219941,$3 for sure,10% chance of -$39; 45% chance of $8; 22.5% chance of $6; 11.25% chance of $2; 11.25% chance of -$6,3.0,0.6000000000000019,0.0,13.897481786280562,3.0,-39.0,3.0,8.0,1,5,A
225,182,False,16,1,27,0.8,1,22,0.8,5,0,1,False,1,0.3375000000000001,0.2604483314082341,80% chance of $27; 20% chance of $1,20% chance of $5; 80% chance of $22,21.8,18.6,10.399999999999999,6.799999999999999,1.0,5.0,27.0,22.0,2,2,A
233,187,False,16,1,12,1.0,12,81,0.05,17,0,1,False,0,0.7625,0.3364025366531391,$12 for sure,95% chance of $17; 5% chance of $81,12.0,20.2,0.0,13.948476619330155,12.0,17.0,12.0,81.0,1,2,B
238,192,False,17,1,28,0.01,2,14,0.1,-2,0,1,False,0,0.2352941176470588,0.3334313581357268,1% chance of $28; 99% chance of $2,90% chance of -$2; 10% chance of $14,2.26,-0.3999999999999999,2.586967336477212,4.800000000000001,2.0,-2.0,28.0,14.0,2,2,A
263,214,False,16,1,24,1.0,24,24,0.95,-15,2,7,False,0,0.4625,0.4425306015783918,$24 for sure,5% chance of -$15; 47.5% chance of $18; 23.75% chance of $20; 11.875% chance of $24; 5.938% chance of $32; 2.969% chance of $48; 1.484% chance of $80; 1.484% chance of $144,24.0,22.05,0.0,19.348061918445485,24.0,-15.0,24.0,144.0,1,8,A
267,217,False,16,1,-10,1.0,-10,3,0.6,-21,0,1,False,0,0.5499999999999999,0.3759432581299116,-$10 for sure,40% chance of -$21; 60% chance of $3,-10.0,-6.6000000000000005,0.0,11.757550765359255,-10.0,-21.0,-10.0,3.0,1,2,B
279,227,False,16,1,16,0.25,15,102,0.4,-48,0,1,False,0,0.1875,0.2680174123696692,25% chance of $16; 75% chance of $15,60% chance of -$48; 40% chance of $102,15.25,12.000000000000007,0.4330127018922193,73.48469228349535,15.0,-48.0,16.0,102.0,2,2,A
280,228,False,16,1,26,1.0,26,38,0.01,28,1,8,False,0,0.8,0.3098386676965933,$26 for sure,99% chance of $28; 0.008% chance of $34.5; 0.055% chance of $35.5; 0.164% chance of $36.5; 0.273% chance of $37.5; 0.273% chance of $38.5; 0.164% chance of $39.5; 0.055% chance of $40.5; 0.008% chance of $41.5,26.0,28.099999999999998,0.0,1.0037429949942367,26.0,28.0,26.0,41.5,1,9,B
281,229,False,16,1,-1,1.0,-1,36,0.25,-9,3,5,False,0,0.6,0.3577708763999663,-$1 for sure,75% chance of -$9; 12.5% chance of $40; 6.25% chance of $38; 3.125% chance of $34; 1.562% chance of $26; 1.562% chance of $10,-1.0,2.25,0.0,19.854155736268414,-1.0,-9.0,-1.0,40.0,1,6,B
282,230,False,16,1,78,0.2,-28,41,0.01,-6,1,2,False,0,0.5875,0.3537890143385838,20% chance of $78; 80% chance of -$28,99% chance of -$6; 0.5% chance of $40.5; 0.5% chance of $41.5,-6.800000000000001,-5.529999999999999,42.400000000000006,4.676708244053717,-28.0,-6.0,78.0,41.5,2,3,B
284,232,False,16,1,27,0.4,27,75,0.5,-24,0,1,False,0,0.25,0.3055050463303893,40% chance of $27; 60% chance of $27,50% chance of -$24; 50% chance of $75,27.0,25.5,0.0,49.5,27.0,-24.0,27.0,75.0,2,2,A
286,233,False,16,1,-1,1.0,-1,-1,1.0,-1,3,2,False,0,0.6125,0.4224926034855521,-$1 for sure,50% chance of $0; 50% chance of -$2,-1.0,-1.0,0.0,1.0,-1.0,-2.0,-1.0,0.0,1,2,B
290,236,False,16,1,26,1.0,26,29,0.4,23,0,1,False,0,0.3375,0.4240676046732801,$26 for sure,60% chance of $23; 40% chance of $29,26.0,25.4,0.0,2.939387691339814,26.0,23.0,26.0,29.0,1,2,A
292,237,False,16,1,54,0.4,-21,25,0.1,18,0,1,False,0,0.95,0.0894427190999915,40% chance of $54; 60% chance of -$21,90% chance of $18; 10% chance of $25,9.000000000000002,18.7,36.742346141747674,2.1,-21.0,18.0,54.0,25.0,2,2,B
297,241,False,16,1,19,0.8,8,28,0.95,6,0,1,False,0,0.725,0.3172801075810878,80% chance of $19; 20% chance of $8,5% chance of $6; 95% chance of $28,16.8,26.9,4.4,4.7947888378947425,8.0,6.0,19.0,28.0,2,2,B
302,245,False,16,1,8,0.99,-25,58,0.25,-3,3,4,False,0,0.375,0.3336665001664586,99% chance of $8; 1% chance of -$25,75% chance of -$3; 12.5% chance of $61; 6.25% chance of $59; 3.125% chance of $55; 3.125% chance of $47,7.67,12.25,3.2834585424518474,26.512968524855907,-25.0,-3.0,8.0,61.0,2,5,A
309,251,False,16,1,68,0.25,0,17,1.0,17,0,1,False,0,0.7749999999999999,0.2816617356570348,25% chance of $68; 75% chance of $0,$17 for sure,17.0,17.0,29.444863728670914,0.0,0.0,17.0,68.0,17.0,2,1,B
311,252,False,16,1,-10,1.0,-10,57,0.1,-17,3,3,False,0,0.8125,0.3222318006239194,-$10 for sure,90% chance of -$17; 5% chance of $59; 2.5% chance of $57; 2.5% chance of $53,-10.0,-9.600000000000003,0.0,22.21350940306371,-10.0,-17.0,-10.0,59.0,1,4,B
314,255,False,16,1,58,0.01,1,27,0.1,0,1,4,False,0,0.4,0.3577708763999663,1% chance of $58; 99% chance of $1,90% chance of $0; 1.25% chance of $25.5; 3.75% chance of $26.5; 3.75% chance of $27.5; 1.25% chance of $28.5,1.5699999999999998,2.700000000000001,5.671428391507734,8.10462830733156,1.0,0.0,58.0,28.5,2,5,A
317,258,False,16,1,30,0.25,-13,46,0.05,-3,0,1,False,1,0.5625,0.3442382895611701,25% chance of $30; 75% chance of -$13,95% chance of -$3; 5% chance of $46,-2.25,-0.5499999999999994,18.619546181365433,10.67930241167465,-13.0,-3.0,30.0,46.0,2,2,B
319,260,False,16,1,6,1.0,6,25,0.75,-35,0,1,False,0,0.4,0.4131182235954577,$6 for sure,25% chance of -$35; 75% chance of $25,6.0,10.0,0.0,25.98076211353316,6.0,-35.0,6.0,25.0,1,2,A
321,261,False,16,1,35,0.2,-9,-2,0.1,-6,2,8,False,0,0.6000000000000002,0.3794733192202056,20% chance of $35; 80% chance of -$9,90% chance of -$6; 5% chance of -$9; 2.5% chance of -$7; 1.25% chance of -$3; 0.625% chance of $5; 0.312% chance of $21; 0.156% chance of $53; 0.078% chance of $117; 0.078% chance of $245,-0.20000000000000018,-5.600000000000006,17.6,8.363013810821945,-9.0,-9.0,35.0,245.0,2,9,B
322,262,False,16,1,8,1.0,8,19,0.25,1,1,6,False,0,0.3,0.3577708763999663,$8 for sure,75% chance of $1; 0.781% chance of $16.5; 3.906% chance of $17.5; 7.812% chance of $18.5; 7.812% chance of $19.5; 3.906% chance of $20.5; 0.781% chance of $21.5,8.0,5.5,0.0,7.814249804043892,8.0,1.0,8.0,21.5,1,7,A
326,265,False,16,1,56,0.2,-10,79,0.25,-13,3,4,False,0,0.6875000000000001,0.35,20% chance of $56; 80% chance of -$10,75% chance of -$13; 12.5% chance of $82; 6.25% chance of $80; 3.125% chance of $76; 3.125% chance of $68,3.200000000000001,10.0,26.400000000000002,39.90300740545755,-10.0,-13.0,56.0,82.0,2,5,B
327,266,False,16,1,8,0.75,-12,3,1.0,3,0,1,False,0,0.475,0.3991657967979388,75% chance of $8; 25% chance of -$12,$3 for sure,3.0,3.0,8.660254037844387,0.0,-12.0,3.0,8.0,3.0,2,1,A
330,268,False,16,1,67,0.05,13,32,0.25,4,1,4,False,0,0.225,0.2909753712372692,5% chance of $67; 95% chance of $13,75% chance of $4; 3.125% chance of $30.5; 9.375% chance of $31.5; 9.375% chance of $32.5; 3.125% chance of $33.5,15.7,11.0,11.769027147559818,12.132085558550928,13.0,4.0,67.0,33.5,2,5,A
333,270,False,16,1,10,1.0,10,43,0.2,7,0,1,False,0,0.625,0.4312771730569565,$10 for sure,80% chance of $7; 20% chance of $43,10.0,14.2,0.0,14.4,10.0,7.0,10.0,43.0,1,2,B
335,271,False,16,1,24,1.0,24,34,0.01,25,1,6,False,0,0.8875000000000001,0.2825479310370779,$24 for sure,99% chance of $25; 0.031% chance of $31.5; 0.156% chance of $32.5; 0.312% chance of $33.5; 0.312% chance of $34.5; 0.156% chance of $35.5; 0.031% chance of $36.5,24.0,25.089999999999996,0.0,0.9024411338142782,24.0,25.0,24.0,36.5,1,7,B
337,273,False,16,1,15,1.0,15,58,0.6,-49,1,8,False,0,0.45,0.4098780306383839,$15 for sure,40% chance of -$49; 0.469% chance of $54.5; 3.281% chance of $55.5; 9.844% chance of $56.5; 16.406% chance of $57.5; 16.406% chance of $58.5; 9.844% chance of $59.5; 3.281% chance of $60.5; 0.469% chance of $61.5,15.0,15.2,0.0,52.42909497597684,15.0,-49.0,15.0,61.5,1,9,A
342,277,False,17,1,29,0.99,11,46,0.4,21,2,2,False,0,0.6352941176470589,0.362182924208521,99% chance of $29; 1% chance of $11,60% chance of $21; 20% chance of $45; 20% chance of $47,28.82,31.0,1.7909773867919168,12.263767773404714,11.0,21.0,29.0,47.0,2,3,B
345,279,False,17,1,16,1.0,16,16,0.95,-6,0,1,False,0,0.2352941176470588,0.362182924208521,$16 for sure,5% chance of -$6; 95% chance of $16,16.0,14.899999999999999,0.0,4.7947888378947425,16.0,-6.0,16.0,16.0,1,2,A
349,283,False,17,1,9,0.5,-23,66,0.01,-2,1,4,False,0,0.6588235294117648,0.392203428607865,50% chance of $9; 50% chance of -$23,99% chance of -$2; 0.125% chance of $64.5; 0.375% chance of $65.5; 0.375% chance of $66.5; 0.125% chance of $67.5,-7.0,-1.32,16.0,6.766468798420635,-23.0,-2.0,9.0,67.5,2,5,B
350,284,False,18,1,22,1.0,22,38,0.4,31,0,1,False,0,0.8333333333333335,0.3378130356555584,$22 for sure,60% chance of $31; 40% chance of $38,22.0,33.8,0.0,3.4292856398964497,22.0,31.0,22.0,38.0,1,2,B
355,288,False,16,1,37,0.05,19,40,0.4,20,0,1,False,0,0.6000000000000001,0.4,5% chance of $37; 95% chance of $19,60% chance of $20; 40% chance of $40,19.900000000000002,28.0,3.9230090491866063,9.797958971132712,19.0,20.0,37.0,40.0,2,2,B
365,296,False,16,1,73,0.01,17,69,0.01,13,1,4,False,0,0.45,0.4226897995772629,1% chance of $73; 99% chance of $17,99% chance of $13; 0.125% chance of $67.5; 0.375% chance of $68.5; 0.375% chance of $69.5; 0.125% chance of $70.5,17.56,13.559999999999999,5.571929647797072,5.572602623550328,17.0,13.0,73.0,70.5,2,5,A
376,306,False,15,1,8,1.0,8,10,0.99,7,0,1,False,0,0.7866666666666667,0.3502380143083653,$8 for sure,1% chance of $7; 99% chance of $10,8.0,9.97,0.0,0.2984962311319861,8.0,7.0,8.0,10.0,1,2,B
379,308,False,15,1,11,1.0,11,79,0.01,10,0,1,False,0,0.4266666666666667,0.439913411393435,$11 for sure,99% chance of $10; 1% chance of $79,11.0,10.690000000000001,0.0,6.865413316035678,11.0,10.0,11.0,79.0,1,2,A
383,311,False,16,1,1,1.0,1,-2,0.1,-11,0,1,False,0,0.1624999999999999,0.2941088233970548,$1 for sure,90% chance of -$11; 10% chance of -$2,1.0,-10.1,0.0,2.7,1.0,-11.0,1.0,-2.0,1,2,A
